lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
,68,0068-r,4,,2/4,Kadrina,,,K.Viljak,8,,"Lõ-pe, lõ-pe põl-lu-ke-ne, vä-he-ne ju, nei-u väl-ja.",,K.Viljak (8),68. Kadrina,Pärnu,Süda-Sakeus,1,5/8,,,"Lõpe, lõpe põllukene, vähene ju, neiu välja."
,69,0069-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,28,,"Ei tu-le mi-ni-ja si-nu-le, po-ja naist ei si-nu-le.",,Välbe-Martin-Rosenstrauch (28),69. Koeru,Pärnu ja Häädemeeste,Süda-Silbermann,2,5/8 2/4 2/4 2/4,,,"Ei tule minija sinule, poja naist ei sinule."
,70,0070-r,4,,2/4,Väike-Maarja,,,P.Penna,184,,"Oh mi-nu hel-la ven-na-ke-ne, kui läed nais-ta võt-ta-mai-e.",,P.Penna (184),70. Väike-Maarja,Pärnu ja Tori,T.Leppik,1,5/8 2/4 2/4 2/4 2/4 2/4 5/8 2/4,,,"Oh minu hella vennakene, kui läed naista võttamaie."
,71,0071-r,2,,6/8,Kuusalu,,,Viljak-Vilberg,20,,"Löö-me _ _ trop-pi, _ _ tu-vi-ke-sed.",,Viljak-Vilberg (20),71. Kuusalu,Pärnu-Häädemeeste,Tatz-Sildnik,3,5/8 2/4 3/4 3/4 3/4 3/4,,,"Lööme troppi, tuvikesed."
11,72,0072-r,4,,2/4,Sangaste,,,A.Kiiss,103,,"Ar-mas äm-ma, an-na pa-da mei-le kiis-su kee--ta.",,A.Kiiss (103),72. Sangaste,Pärnu-Jaagupi,Tiedt,1,5/8 2/4 5/8 2/4,,,"Armas ämma, anna pada meile kiissu keeta."
,73,0073-r,4,,2/4,Väike-Maarja,,,P.Penna,177,,"Mei-e kak-si vaes-ta las-ta, paar kui par-di poe-ga-si-da.",,P.Penna (177),73. Väike-Maarja,Pärnu-Tori,Topmann-Rahamägi,4,5/8 3/4 2/4 2/4,,,"Meie kaksi vaesta lasta, paar kui pardi poegasida."
,74,0074-r,2,,6/8,Kadrina,,,K.Viljak,24,,"Sõu-a, _ _ kii-ke, _ _ jõu-a, kii-ke.",,K.Viljak (24),74. Kadrina,Pärnumaa,Välbe-Martin-Rosenstrauch,71,6/8,,,"Sõua, kiike, jõua, kiike."
,75,0075-r,4,,2/4,Karula,,,A.Kiiss,44,,"U-ni naa-ri noo-re nai-se, u-ni naa-ri noo-re nai-se.",,A.Kiiss (44),75. Karula,Peetri,Välbe-Sulg,11,6/8 5/8 6/8 5/8 5/8 5/8 4/8 5/8,,,"Uni naari noore naise, uni naari noore naise."
,76,0076-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,24,,"Oh Ju-mal Ju-ma-lu-ke-ne, kuu-le or-ja oh-ka-mi-sed.",,Penna-Rosenstrauch (24),76. Järvamaa,Pilistvere,Viljak-Mark,14,6/8 6/8 3/8 3/8 3/8 3/8,,,"Oh Jumal Jumalukene, kuule orja ohkamised."
,77,0077-r,2,,6/8,Kadrina,,,K.Viljak,85,,"Ü-les, _ _ ü-les, _ _ mei-i kii-ke. _ _ ",,K.Viljak (85),77. Kadrina,Põhja-Eesti,Viljak-Rosenstrauch,17,9/8,,,"Üles, üles, meii kiike. "
,78,0078-r,4,,2/4,Jõhvi,,,Penna-Sildnik,13,c,Kü-la mind üt-les kü-la söö-ma ...,,Penna-Sildnik (13) c,78. Jõhvi,Pöide,Viljak-Vilberg,101,9/8 9/8 6/8 6/8,,,Küla mind ütles küla sööma ...
,79,0079-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,7,,Mis te siin _ _ sei--sa-te ...,,Viljak-Vilberg (7),79. Kuusalu,Pöides,,1365,C,,,Mis te siin seisate ...
12,80,0080-r,2,,2/4,Harju-Jaani,,,K.Viljak,34,,"Nõt-ku, nõt-ku, nõe-la-ke-ne.",,K.Viljak (34),80. Harju-Jaani,Põltsamaa,,1365,,,,"Nõtku, nõtku, nõelakene."
,81,0081-r,4,,2/4,Simuna,,,Siimer-Rosenstrauch,68,,"Ko-du tu-leb suu-ri söö-ja, ko-du tu-leb suu-ri joo-ja.",,Siimer-Rosenstrauch (68),81. Simuna,Põlva,,1365,,,,"Kodu tuleb suuri sööja, kodu tuleb suuri jooja."
,82,0082-r,4,,2/4,Viru-Nigula,,,K.Viljak,11,,"Kü-la mull' üt-les: ku-ku, ku-ku, kü-la lap-sed: lau-la, lau-la.",,K.Viljak (11),82. Viru-Nigula,Pühalepa,,1365,,,,"Küla mull' ütles: kuku, kuku, küla lapsed: laula, laula."
,83,0083-r,4,,2/4,Ambla,,,J.Välbe,50,,"O-leks mi-nu o-le-mi-ne, tei-seks mi-nu te-ge-mi-ne.",,J.Välbe (50),83. Ambla,Pühaste,,1365,,,,"Oleks minu olemine, teiseks minu tegemine."
